State,City
Maharashtra,Kolhapur
Maharashtra,Ahmednagar
Maharashtra,Akola
Maharashtra,Amravati
Maharashtra,Aurangabad
Andaman & Nicobar Islands,Port Blair
Andhra Pradesh,Adilabad
Andhra Pradesh,Adoni
Andhra Pradesh,Amadalavalasa
Andhra Pradesh,Amalapuram
Andhra Pradesh,Anakapalle
Andhra pradesh,Pondur
Arunachal Pradesh,Along
Arunachal Pradesh,Bomdila
Arunachal Pradesh,Itanagar
Arunachal Pradesh,Naharlagun
Arunachal Pradesh,Pasighat
Assam,Abhayapuri
Assam,Amguri
Assam,Anandnagaar
Assam,Barpeta
Assam,Barpeta Road
Bihar,Amarpur
Bihar,Araria
Bihar,Areraj
Bihar,Arrah
Bihar,Asarganj
Chhattisgarh,Ahiwara
Chhattisgarh,Akaltara
Chhattisgarh,Ambagarh Chowki
Chhattisgarh,Ambikapur
Chhattisgarh,Arang
Dadra & Nagar Haveli,Amli
Dadra & Nagar Haveli,Silvassa
Daman & Diu,Daman and Diu
Delhi,Asola
Delhi,Delhi
Goa,Aldona
Goa,Curchorem Cacora
Goa,Madgaon
Goa,Mapusa
Goa,Margao
Gujarat,Ahmedabad
Gujarat,Amreli
Gujarat,Anand
Gujarat,Ankleshwar
Gujarat,Bharuch
 India,Dharampur
Gujrat,Adalaj
Gujrat,Adityana
Gujrat,Alang
Gujrat,Ambaji
Gujrat,Ambaliyasan
Haryana,Ballabhgarh
Haryana,Ambala
Haryana,Asankhurd
Haryana,Assandh
Haryana,Ateli
Himachal Pradesh,Arki
Himachal Pradesh,Baddi
Himachal Pradesh,Bilaspur
Himachal Pradesh,Chamba
Himachal Pradesh,Dalhousie
Jammu & Kashmir,Jammu
Jammu & Kashmir,Achabbal
Jammu & Kashmir,Akhnoor
Jammu & Kashmir,Anantnag
Jammu & Kashmir,Arnia
Jharkhand,Amlabad
Jharkhand,Ara
Jharkhand,Barughutu
Jharkhand,Bokaro Steel City
Jharkhand,Chaibasa
Karnataka,Arasikere
Karnataka,Bangalore
Karnataka,Belgaum
Karnataka,Bellary
Karnataka,Chamrajnagar
Kerala,Adoor
Kerala,Akathiyoor
Kerala,Alappuzha
Kerala,Ancharakandy
Kerala,Aroor
Lakshadweep,Kavaratti
Madhya Pradesh,Ashok Nagar
Madhya Pradesh,Balaghat
Madhya Pradesh,Betul
Madhya Pradesh,Bhopal
Madhya Pradesh,Burhanpur
Maharastra,Umarga
Maharastra,Umarkhed
Maharastra,Umred
Maharastra,Vadgaon Kasba
Maharastra,Vaijapur
Manipur,Imphal
Manipur,Kakching
Manipur,Lilong
Manipur,Mayang Imphal
Manipur,Thoubal
Meghalaya,Jowai
Meghalaya,Nongstoin
Meghalaya,Shillong
Meghalaya,Tura
Mizoram,Aizawl
Mizoram,Champhai
Mizoram,Lunglei
Mizoram,Saiha
Nagaland,Dimapur
Nagaland,Kohima
Nagaland,Mokokchung
Nagaland,Tuensang
Nagaland,Wokha
Orissa,Anandapur
Orissa,Anugul
Orissa,Asika
Orissa,Balangir
Orissa,Balasore
Pondicherry,Karaikal
Pondicherry,Mahe
Pondicherry,Pondicherry
Pondicherry,Yanam
Punjab,Ahmedgarh
Punjab,Amritsar
Punjab,Barnala
Punjab,Batala
Punjab,Bathinda
Rajasthan,Bali
Rajasthan,Ajmer
Rajasthan,Alwar
Rajasthan,Bandikui
Rajasthan,Baran
Rajastan,Banswara
Sikkim,Gangtok
West Bengal,Calcutta
West Bengal,Alipurduar
West Bengal,Arambagh
West Bengal,Asansol
West Bengal,Baharampur
Tamil Nadu,Arakkonam
Tamil Nadu,Arcot
Tamil Nadu,Aruppukkottai
Tamil Nadu,Bhavani
Tamil Nadu,Chengalpattu
Tamil nadu,Chinna salem
Tripura,Agartala
Tripura,Badharghat
Tripura,Dharmanagar
Tripura,Indranagar
Tripura,Jogendranagar
Uttar Pradesh,Achhnera
Uttar Pradesh,Adari
Uttar Pradesh,Agra
Uttar Pradesh,Aligarh
Uttar Pradesh,Allahabad
 Ghazipur,Saidpur
 Hardoi,Shahabad
 Rampur,Shahabad
 Agra,Shamsabad
 Farrukhabad,Shamsabad
 Bulandshahr,Shikarpur
Uttarakhand,Almora
Uttarakhand,Bazpur
Uttarakhand,Chamba
Uttarakhand,Dehradun
Uttarakhand,Haldwani
 Purulia,Adra
